Genotype	Experiment	LP	LPc	SELt	GTev	ESCev	TOTev	FGT
pRB98	A	4272	4270	28	1	1	2	0.02340824
pRB98	A	4272	4234	47	10	28	38	0.234082397
pRB98	A	4272	4229	51	10	33	43	0.234082397
pRB98	A	4272	4205	57	14	53	67	0.327715356
pRB98	A	4272	4096	65	40	136	176	0.936329588
pRB98	A	4272	4080	70	41	151	192	0.959737828
pRB98	A	4272	3955	85	74	243	317	1.732209738
pRB98	A	4272	3934	91	81	257	338	1.896067416
pRB98	A	4272	3879	100	94	299	393	2.200374532
pRB98	A	4272	3701	107	119	452	571	2.785580524
pRB98	A	4272	3506	120	137	629	766	3.206928839
polqpol1	A	5112	5100	34	3	9	12	0.058685446
polqpol1	A	5112	5071	50	17	24	41	0.332550861
polqpol1	A	5112	5009	56	41	62	103	0.802034429
polqpol1	A	5112	4987	64	49	76	125	0.958528951
polqpol1	A	5112	4907	70	89	116	205	1.741001565
polqpol1	A	5112	4893	77	93	126	219	1.819248826
polqpol1	A	5112	4834	85	124	154	278	2.425665102
polqpol1	A	5112	4818	91	136	158	294	2.660406886
polqpol1	A	5112	4776	97	154	182	336	3.012519562
polqpol1	A	5112	4658	104	190	264	454	3.716744914
polqpol1	A	5112	4575	111	233	304	537	4.557902973
polqpol1	A	5112	4461	118	257	394	651	5.027386541
polqpol1	A	5112	4443	124	264	405	669	5.164319249
lig41	A	4544	4520	35	16	8	24	0.352112676
lig41	A	4544	4413	58	82	49	131	1.804577465
lig41	A	4544	4316	64	139	89	228	3.058978873
lig41	A	4544	4268	72	172	104	276	3.785211268
lig41	A	4544	4195	80	232	117	349	5.105633803
lig41	A	4544	4140	86	271	133	404	5.963908451
lig41	A	4544	4069	94	328	147	475	7.218309859
lig41	A	4544	4023	98	366	155	521	8.054577465
lig41	A	4544	3949	114	404	191	595	8.89084507
lig41	A	4544	3838	121	461	245	706	10.14524648
lig41	A	4544	3822	124	468	254	722	10.29929577
