Genotype	Experiment	LP	LPc	SELt	GTev	ESCev	TOTev	GTdelta	ESCdelta	TOTdelta	FGT
pRB98	B	2345	2326	42	8	11	19	8	11	19	0.341151386
pRB98	B	2345	2290	50	14	41	55	6	30	36	0.597014925
pRB98	B	2345	2241	58	27	77	104	13	36	49	1.151385928
pRB98	B	2345	2195	64	31	119	150	4	42	46	1.32196162
pRB98	B	2345	2166	70	35	144	179	4	25	29	1.492537313
pRB98	B	2345	2125	77	41	179	220	6	35	41	1.748400853
pRB98	B	2345	2116	84	44	185	229	3	6	9	1.876332623
pRB98	B	2345	2094	89	46	205	251	2	20	22	1.961620469
pRB98	B	2345	2050	98	52	243	295	6	38	44	2.217484009
pRB98	B	2345	2006	103	57	282	339	5	39	44	2.430703625
pRB98	B	2345	1923	125	62	360	422	5	78	83	2.643923241
pRB98	B	2345	1856	128	69	420	489	7	60	67	2.942430704
polqpol2	B	2248	2221	38	11	16	27	11	16	27	0.489323843
polqpol2	B	2248	2189	49	26	33	59	15	17	32	1.15658363
polqpol2	B	2248	2152	56	48	48	96	22	15	37	2.135231317
polqpol2	B	2248	2103	68	72	73	145	24	25	49	3.202846975
polqpol2	B	2248	2057	76	93	98	191	21	25	46	4.137010676
polqpol2	B	2248	2002	81	113	133	246	20	35	55	5.026690391
polqpol2	B	2248	1969	88	129	150	279	16	17	33	5.738434164
polqpol2	B	2248	1887	95	150	211	361	21	61	82	6.672597865
polqpol2	B	2248	1787	119	166	295	461	16	84	100	7.384341637
polqpol2	B	2248	1737	125	178	333	511	12	38	50	7.918149466
lig42	B	2292	2278	41	7	7	14	7	7	14	0.305410122
lig42	B	2292	2244	49	28	20	48	21	13	34	1.221640489
lig42	B	2292	2181	63	66	45	111	38	25	63	2.879581152
lig42	B	2292	2138	69	91	63	154	25	18	43	3.970331588
lig42	B	2292	2082	76	127	83	210	36	20	56	5.541012216
lig42	B	2292	2025	84	163	104	267	36	21	57	7.111692845
lig42	B	2292	1981	88	189	122	311	26	18	44	8.246073298
lig42	B	2292	1940	96	213	139	352	24	17	41	9.293193717
lig42	B	2292	1847	118	257	188	445	44	49	93	11.21291449
lig42	B	2292	1811	124	271	210	481	14	22	36	11.82373473
